字段1,字段1_link,字段2,字段3,字段4,字段5
Administrator,https://www.seek.co.nz/job/50515557?type=promoted#searchRequestToken=44071084-8339-47ef-b2da-2bd4989a246d,Anywhere International Group,location: AucklandAucklandarea: Auckland CentralAuckland Central,"Featured,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants
Office Administrator - Full-time Ellerslie/Mt Wellington,https://www.seek.co.nz/job/50602110?type=promoted#searchRequestToken=44071084-8339-47ef-b2da-2bd4989a246d,Pool Magic Ltd,"location: AucklandAucklandarea: Auckland CentralAuckland Central,$50,000 - $55,000 plus benefits","Featured,at","$50,000 - $55,000 plus benefits"
Bilingual Office Administrator,https://www.seek.co.nz/job/50602178?type=standard#searchRequestToken=44071084-8339-47ef-b2da-2bd4989a246d,Vistalite South Auckland,location: AucklandAucklandarea: Manukau & East AucklandManukau & East Auckland,"7d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants
"Administrator, Intelligence & Reporting",https://www.seek.co.nz/job/50639360?type=standout#searchRequestToken=44071084-8339-47ef-b2da-2bd4989a246d,Environmental Protection Authority (EPA),location: WellingtonWellingtonarea: Wellington CentralWellington Central,"2h ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants
Receptionist,https://www.seek.co.nz/job/50613682?type=standout#searchRequestToken=44071084-8339-47ef-b2da-2bd4989a246d,Ryman Healthcare,location: OtagoOtagoarea: DunedinDunedin,"5d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: ReceptionistsReceptionists
Receptionist,https://www.seek.co.nz/job/50613649?type=standout#searchRequestToken=44071084-8339-47ef-b2da-2bd4989a246d,Ryman Healthcare,location: OtagoOtagoarea: DunedinDunedin,"5d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: ReceptionistsReceptionists
Client Assistant / Administrator,https://www.seek.co.nz/job/50605343?type=standout#searchRequestToken=44071084-8339-47ef-b2da-2bd4989a246d,Perpetual Guardian,"location: ManawatuManawatuarea: Palmerston NorthPalmerston North,incl Life & Health Insurance","6d ago,at",incl Life & Health Insurance
Export Admin Support,https://www.seek.co.nz/job/50583111?type=standard#searchRequestToken=44071084-8339-47ef-b2da-2bd4989a246d,,location: Hawkes BayHawkes Bayarea: HastingsHastings,"11d ago,at,Private Advertiser",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants
Contract Administrator / Reception,https://www.seek.co.nz/job/50624551?type=standout#searchRequestToken=44071084-8339-47ef-b2da-2bd4989a246d,Rodney West Residential Limited,location: AucklandAucklandarea: Rodney & North ShoreRodney & North Shore,"4d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Contracts AdministrationContracts Administration
Administration,https://www.seek.co.nz/job/50613350?type=standard#searchRequestToken=44071084-8339-47ef-b2da-2bd4989a246d,First AML,"location: AucklandAucklandarea: Auckland CentralAuckland Central,$45,000 - $49,999","5d ago,at","$45,000 - $49,999"
Personal Assistant,https://www.seek.co.nz/job/50631495?type=standout#searchRequestToken=44071084-8339-47ef-b2da-2bd4989a246d,Environmental Protection Authority (EPA),location: WellingtonWellingtonarea: Wellington CentralWellington Central,"3d ago,at","classification: Administration & Office SupportAdministration & Office SupportsubClassification: PA, EA & SecretarialPA, EA & Secretarial"
Administration Manager,https://www.seek.co.nz/job/50591139?type=standout#searchRequestToken=44071084-8339-47ef-b2da-2bd4989a246d,Right Recruit,location: AucklandAucklandarea: Rodney & North ShoreRodney & North Shore,"10d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Office ManagementOffice Management
Client Care / Reception,https://www.seek.co.nz/job/50631933?type=standout#searchRequestToken=44071084-8339-47ef-b2da-2bd4989a246d,Vetora,location: WaikatoWaikatoarea: Rest of WaikatoRest of Waikato,"3d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: ReceptionistsReceptionists
Administrator / Marketing Support,https://www.seek.co.nz/job/50631418?type=standout#searchRequestToken=44071084-8339-47ef-b2da-2bd4989a246d,Baker Tilly Staples Rodway HR,location: TaranakiTaranakiarea: New PlymouthNew Plymouth,"3d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants
Personal Assistant,https://www.seek.co.nz/job/50632492?type=standout#searchRequestToken=44071084-8339-47ef-b2da-2bd4989a246d,Cavanagh & Associates Ltd,location: ManawatuManawatuarea: Palmerston NorthPalmerston North,"3d ago,at","classification: Administration & Office SupportAdministration & Office SupportsubClassification: PA, EA & SecretarialPA, EA & Secretarial"
Office Administrator / PA,https://www.seek.co.nz/job/50610172?type=standout#searchRequestToken=44071084-8339-47ef-b2da-2bd4989a246d,Forté Recruitment Ltd,"location: WellingtonWellingtonarea: Wellington CentralWellington Central,$55,000 - $60,000 per annum pro rata","6d ago,at","$55,000 - $60,000 per annum pro rata"
Accounts & Office Admin,https://www.seek.co.nz/job/50598827?type=standard#searchRequestToken=44071084-8339-47ef-b2da-2bd4989a246d,Jadcup,location: AucklandAucklandarea: Manukau & East AucklandManukau & East Auckland,"7d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants
Operations Support,https://www.seek.co.nz/job/50605356?type=standout#searchRequestToken=44071084-8339-47ef-b2da-2bd4989a246d,Bachcare,location: AucklandAucklandarea: Auckland CentralAuckland Central,"6d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants
Office / Client Administrator,https://www.seek.co.nz/job/50590951?type=standout#searchRequestToken=44071084-8339-47ef-b2da-2bd4989a246d,Perpetual Guardian,"location: AucklandAucklandarea: Rodney & North ShoreRodney & North Shore,Includes life and health insurance","10d ago,at",Includes life and health insurance
Receptionist,https://www.seek.co.nz/job/50613726?type=standout#searchRequestToken=44071084-8339-47ef-b2da-2bd4989a246d,Gentle Chiropractic,location: AucklandAucklandarea: Auckland CentralAuckland Central,"5d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: ReceptionistsReceptionists
Building Support Services Officer,https://www.seek.co.nz/job/50606335?type=standout#searchRequestToken=44071084-8339-47ef-b2da-2bd4989a246d,New Plymouth District Council,location: TaranakiTaranakiarea: New PlymouthNew Plymouth,"6d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants
Logistics Administrator,https://www.seek.co.nz/job/50632494?type=standout#searchRequestToken=44071084-8339-47ef-b2da-2bd4989a246d,Sharp Corporation of New Zealand Ltd,location: AucklandAucklandarea: Auckland CentralAuckland Central,"3d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants
Receptionist / Office Administration,https://www.seek.co.nz/job/50620963?type=promoted#searchRequestToken=bf014cf6-2d43-4184-aacf-4d725771e4f2,foley group architecture,location: CanterburyCanterburyarea: ChristchurchChristchurch,"Featured,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: ReceptionistsReceptionists
First Impressions Manager/Administration,https://www.seek.co.nz/job/50504596?type=promoted#searchRequestToken=bf014cf6-2d43-4184-aacf-4d725771e4f2,The Rent Shop,location: TasmanTasmanarea: Rest of TasmanRest of Tasman,"Featured,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: ReceptionistsReceptionists
Office Administrator / Kiripaepae,https://www.seek.co.nz/job/50597146?type=standout#searchRequestToken=bf014cf6-2d43-4184-aacf-4d725771e4f2,Te Rūnanga of Ngāti Whakaue ki Maketū,"location: Bay of PlentyBay of Plentyarea: Rest of Bay of PlentyRest of Bay of Plenty,$20 - $24.99 per hour","8d ago,at",$20 - $24.99 per hour
Library Assistant,https://www.seek.co.nz/job/50584317?type=standard#searchRequestToken=bf014cf6-2d43-4184-aacf-4d725771e4f2,The James Wallace Arts Trust,location: AucklandAucklandarea: Auckland CentralAuckland Central,"11d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Records Management & Document ControlRecords Management & Document Control
Gateway Administrator,https://www.seek.co.nz/job/50622030?type=standard#searchRequestToken=bf014cf6-2d43-4184-aacf-4d725771e4f2,St Patrick's College Wellington,"location: WellingtonWellingtonarea: Wellington CentralWellington Central,$20 - $24.99 per hour","4d ago,at",$20 - $24.99 per hour
Customer Services & Admin Specialist,https://www.seek.co.nz/job/50597662?type=standout#searchRequestToken=bf014cf6-2d43-4184-aacf-4d725771e4f2,SBA Invercargill,location: SouthlandSouthlandarea: InvercargillInvercargill,"7d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Client & Sales AdministrationClient & Sales Administration
Receptionist,https://www.seek.co.nz/job/50599003?type=standout#searchRequestToken=bf014cf6-2d43-4184-aacf-4d725771e4f2,Affco NZ,location: WaikatoWaikatoarea: HamiltonHamilton,"7d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: ReceptionistsReceptionists
Receptionist/Administrator,https://www.seek.co.nz/job/50613709?type=standout#searchRequestToken=bf014cf6-2d43-4184-aacf-4d725771e4f2,Ryman Healthcare,location: OtagoOtagoarea: DunedinDunedin,"5d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: ReceptionistsReceptionists
Receptionist,https://www.seek.co.nz/job/50624451?type=standout#searchRequestToken=bf014cf6-2d43-4184-aacf-4d725771e4f2,Turners Group NZ Limited,location: Bay of PlentyBay of Plentyarea: TaurangaTauranga,"4d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: ReceptionistsReceptionists
Client Liaison and Administration Superstar,https://www.seek.co.nz/job/50601202?type=standout#searchRequestToken=bf014cf6-2d43-4184-aacf-4d725771e4f2,Swarbricks,location: WaikatoWaikatoarea: Rest of WaikatoRest of Waikato,"6d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Client & Sales AdministrationClient & Sales Administration
Admin Assistant,https://www.seek.co.nz/job/50574918?type=standard#searchRequestToken=bf014cf6-2d43-4184-aacf-4d725771e4f2,Civix,location: AucklandAucklandarea: Auckland CentralAuckland Central,"12d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants
Office Assistant - Christchurch,https://www.seek.co.nz/job/50617365?type=standout#searchRequestToken=bf014cf6-2d43-4184-aacf-4d725771e4f2,Simpson Grierson,location: CanterburyCanterburyarea: ChristchurchChristchurch,"5d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants
Swim School Administrator,https://www.seek.co.nz/job/50614115?type=standout#searchRequestToken=bf014cf6-2d43-4184-aacf-4d725771e4f2,Community Leisure Management,location: TasmanTasmanarea: NelsonNelson,"5d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants
Judges Personal Assistant,https://www.seek.co.nz/job/50616398?type=standout#searchRequestToken=bf014cf6-2d43-4184-aacf-4d725771e4f2,Ministry of Justice,"location: AucklandAucklandarea: Manukau & East AucklandManukau & East Auckland,$48,835 - $63,221","5d ago,at","$48,835 - $63,221"
Office Manager,https://www.seek.co.nz/job/50632238?type=standard#searchRequestToken=bf014cf6-2d43-4184-aacf-4d725771e4f2,Soundtech 2018 Ltd,location: WellingtonWellingtonarea: Wellington CentralWellington Central,"3d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Office ManagementOffice Management
Executive Assistant,https://www.seek.co.nz/job/50629119?type=standard#searchRequestToken=bf014cf6-2d43-4184-aacf-4d725771e4f2,Alpine Energy,location: CanterburyCanterburyarea: Timaru & South CanterburyTimaru & South Canterbury,"3d ago,at","classification: Administration & Office SupportAdministration & Office SupportsubClassification: PA, EA & SecretarialPA, EA & Secretarial"
Admin/Reception - permanent role,https://www.seek.co.nz/job/50489648?type=standout#searchRequestToken=bf014cf6-2d43-4184-aacf-4d725771e4f2,Hutt City Health Centres,location: WellingtonWellingtonarea: Hutt ValleyHutt Valley,"7d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: ReceptionistsReceptionists
